time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2026-02-12 12:00:00,0.09389,0.09455,0.09302,0.09324,122789745.0,1770911999999,11520364.17891000,192503,59873547.00000000,5618017.96331000,0
2026-02-12 16:00:00,0.09323,0.09374,0.09077,0.09169,166963181.0,1770926399999,15331326.52747000,288918,71067006.00000000,6525575.26349000,0
2026-02-12 20:00:00,0.09169,0.09347,0.09069,0.093,98033571.0,1770940799999,9036396.91192000,101484,50780934.00000000,4684481.18507000,0
2026-02-13 00:00:00,0.09299,0.09339,0.09213,0.09297,49734303.0,1770955199999,4610179.43183000,72033,22152459.00000000,2053455.13279000,0
2026-02-13 04:00:00,0.09296,0.0935,0.09179,0.09303,59798889.0,1770969599999,5540863.76794000,71666,29754590.00000000,2757704.05347000,0
2026-02-13 08:00:00,0.09304,0.09413,0.09299,0.09398,60064645.0,1770983999999,5629777.54166000,84385,32277171.00000000,3025544.00506000,0
2026-02-13 12:00:00,0.09399,0.09666,0.09293,0.09536,249855569.0,1770998399999,23628231.40896000,234095,139228584.00000000,13194932.86336000,0
2026-02-13 16:00:00,0.09537,0.097,0.09501,0.09636,188671792.0,1771012799999,18175769.51895000,154125,117176702.00000000,11290665.97714000,0
2026-02-13 20:00:00,0.09637,0.09764,0.09609,0.09667,119309417.0,1771027199999,11567519.23331000,85406,55689838.00000000,5399120.67264000,0
2026-02-14 00:00:00,0.09668,0.09707,0.0963,0.09684,44454921.0,1771041599999,4299610.54379000,51703,19783836.00000000,1913472.35516000,0
2026-02-14 04:00:00,0.09684,0.09706,0.09641,0.09654,34448585.0,1771055999999,3330642.88377000,38759,19345020.00000000,1870472.27419000,0
2026-02-14 08:00:00,0.09655,0.10095,0.09652,0.10062,182925041.0,1771070399999,18037607.89497000,140776,110751958.00000000,10916180.90143000,0
2026-02-14 12:00:00,0.10062,0.10425,0.09909,0.104,240974859.0,1771084799999,24479025.35612000,228168,116391571.00000000,11824965.44758000,0
2026-02-14 16:00:00,0.104,0.10929,0.10251,0.10858,344830314.0,1771099199999,36586594.19801000,342271,166445897.00000000,17646524.14791000,0
2026-02-14 20:00:00,0.10859,0.11383,0.10793,0.11104,502374538.0,1771113599999,55748241.11481000,430408,228440653.00000000,25360270.30014000,0
2026-02-15 00:00:00,0.11104,0.11552,0.11048,0.11478,480439179.0,1771127999999,54352291.76386000,548374,258429093.00000000,29255202.99317000,0
2026-02-15 04:00:00,0.11479,0.11757,0.11401,0.11607,470196618.0,1771142399999,54414713.79148000,428847,241594358.00000000,27975643.03703000,0
2026-02-15 08:00:00,0.11608,0.1165,0.11224,0.11273,380837365.0,1771156799999,43495219.63846000,339876,191331673.00000000,21886338.90241000,0
2026-02-15 12:00:00,0.11274,0.11298,0.10686,0.10777,447952499.0,1771171199999,48908050.51414000,413360,199503028.00000000,21771725.97050000,0
2026-02-15 16:00:00,0.10777,0.10777,0.1025,0.10273,329742766.0,1771185599999,34633537.76379000,321007,157529816.00000000,16530652.02346000,0
2026-02-15 20:00:00,0.10272,0.10345,0.10155,0.10269,151400789.0,1771199999999,15554865.13483000,159449,79822505.00000000,8202590.57643000,0
2026-02-16 00:00:00,0.10268,0.10315,0.10161,0.10219,132768731.0,1771214399999,13591070.68867000,148435,68918566.00000000,7059427.22492000,0
2026-02-16 04:00:00,0.10219,0.1036,0.10121,0.10203,131584170.0,1771228799999,13460403.01946000,128129,73903750.00000000,7564068.81689000,0
2026-02-16 08:00:00,0.10203,0.10339,0.10073,0.10161,153688507.0,1771243199999,15710066.29513000,150073,84186789.00000000,8609224.89752000,0
2026-02-16 12:00:00,0.10162,0.10346,0.0985,0.09957,399522328.0,1771257599999,40315690.06639000,440241,208507791.00000000,21070393.20107000,0
2026-02-16 16:00:00,0.09958,0.10129,0.09948,0.10031,107467211.0,1771271999999,10812571.47691000,165930,53681183.00000000,5401480.55180000,0
2026-02-16 20:00:00,0.1003,0.1014,0.09989,0.10102,86545235.0,1771286399999,8711391.17138000,125323,48037830.00000000,4835446.75937000,0
2026-02-17 00:00:00,0.10103,0.10132,0.09957,0.10052,105904889.0,1771300799999,10652037.78661000,118801,37154650.00000000,3739656.99107000,0
2026-02-17 04:00:00,0.10052,0.1008,0.09909,0.09977,73505994.0,1771315199999,7343742.25637000,102117,31639841.00000000,3161380.42716000,0
2026-02-17 08:00:00,0.09978,0.10009,0.09845,0.09887,94813285.0,1771329599999,9390230.75442000,107550,48892716.00000000,4841724.30797000,0
2026-02-17 12:00:00,0.09887,0.10106,0.09836,0.10049,215051200.0,1771343999999,21480915.97273000,269078,103734634.00000000,10371569.50088000,0
2026-02-17 16:00:00,0.1005,0.1036,0.09972,0.1011,279128897.0,1771358399999,28369573.07553000,303883,150497322.00000000,15294130.74279000,0
2026-02-17 20:00:00,0.1011,0.10145,0.10031,0.10066,45189828.0,1771372799999,4555088.71886000,91246,21648803.00000000,2182612.38890000,0
2026-02-18 00:00:00,0.10067,0.10147,0.09994,0.10124,53554334.0,1771387199999,5398533.94247000,87862,28079402.00000000,2832084.25976000,0
2026-02-18 04:00:00,0.10125,0.10178,0.10063,0.10143,43886993.0,1771401599999,4437826.43048000,71071,21990920.00000000,2223557.53000000,0
2026-02-18 08:00:00,0.10143,0.10203,0.09923,0.10009,91031770.0,1771415999999,9186155.08154000,117543,42649615.00000000,4306154.30609000,0
2026-02-18 12:00:00,0.10009,0.1023,0.09943,0.1011,130854780.0,1771430399999,13175027.47888000,184303,56296889.00000000,5668325.68234000,0
2026-02-18 16:00:00,0.10109,0.10119,0.09749,0.09853,150439748.0,1771444799999,14921076.69321000,218240,67424705.00000000,6691859.28797000,0
2026-02-18 20:00:00,0.09854,0.09915,0.09794,0.09855,70477296.0,1771459199999,6943173.65782000,101304,31757584.00000000,3129073.52896000,0
2026-02-19 00:00:00,0.09855,0.099,0.09785,0.09862,77095532.0,1771473599999,7585941.38422000,91321,28440249.00000000,2799541.10141000,0
2026-02-19 04:00:00,0.09863,0.09924,0.09675,0.09834,148722718.0,1771487999999,14582233.41159000,140064,65624950.00000000,6434824.89292000,0
2026-02-19 08:00:00,0.09834,0.09837,0.09713,0.0977,79349454.0,1771502399999,7749416.54559000,102994,39923724.00000000,3898466.99414000,0
2026-02-19 12:00:00,0.0977,0.09834,0.09643,0.09686,140228038.0,1771516799999,13652981.55536000,194291,68601965.00000000,6682361.79464000,0
2026-02-19 16:00:00,0.09686,0.09846,0.09551,0.09811,136130919.0,1771531199999,13229060.72944000,179527,60227018.00000000,5855038.68085000,0
2026-02-19 20:00:00,0.0981,0.09839,0.09735,0.09837,46606358.0,1771545599999,4564496.73713000,67096,21498899.00000000,2105799.08566000,0
2026-02-20 00:00:00,0.09836,0.09948,0.09818,0.09873,58477200.0,1771559999999,5784232.84918000,75112,29578490.00000000,2925595.51350000,0
2026-02-20 04:00:00,0.09874,0.09998,0.0982,0.09861,101904123.0,1771574399999,10094384.95253000,93004,60591259.00000000,6008774.81807000,0
2026-02-20 08:00:00,0.0986,0.09945,0.0983,0.09848,105616427.0,1771588799999,10452360.30660000,101477,58563200.00000000,5799248.81362000,0
2026-02-20 12:00:00,0.09849,0.10056,0.09566,0.10029,279399975.0,1771603199999,27431117.05913000,332695,139434740.00000000,13703330.03858000,0
2026-02-20 16:00:00,0.1003,0.10244,0.09869,0.10026,279892774.0,1771617599999,28249779.58863000,362138,133902383.00000000,13514927.14470000,0
2026-02-20 20:00:00,0.10026,0.10119,0.09968,0.10011,54435930.0,1771631999999,5463699.95688000,87671,26405080.00000000,2649764.35152000,0
